Thai,English,Type
ก็,Well,"Adv, Conj"
กงสุล,consul,N
กฎหมาย,law,N
ก็ได้,okay,POS
ก้น,bottom,N
กบ,frog,N
กรกฎาคม,July,N
กรง,cage,N
กรณี,case,N
กรม,department,N
กรรไกร,scissors,N
กรอบ,frame,Adj
กระจก,mirror,N
กระจาย,spread,V
กระดาน,board,N
กระดานดำ,blackboard,N
กระดาษ,paper,N
กระดาษแข็ง,cardboard,N
กระดาษชำระ,Toilet paper,N
กระดิ่ง,bell,N
กระดุม,Buttons,N
กระดูก,bone,"N, Adj"
กระโดด,jump,V
กระต่าย,rabbit,N
กระทะ,frying pan,N
กระเทียม,garlic,N
กระบอก,cylinder,"N, Class"
กระเบื้อง,tile,N
กระป๋อง,can,N
กระเป๋า,bag,N
กระเป๋าถือ,handbag,N
กระเป๋าสตางค์,wallet,N
กระโปรง,skirt,N
กระหล่ำดอก,Cauliflower,N
กรัม,gram,Class 
กรุงเทพฯ,Bangkok,N
กลม,round,Adj
กล้วย,banana,N
กล้วยไม้,orchid,N
กล้วยหอม,Banana,N
กลอง,drum,N
กล่อง,box,N
กล้องถ่ายรูป,camera,N
กล่องเล็กๆ - กลัก,small box - box,N 
กลับ,go back,V
กลับบ้าน,go home,V
กลับไป,go back,V
กลับมา,return,V
กลับรถ,Make a U-turn,V
กลัว,afraid,Adj
กล้า,brave,Adj
กลาง,center,Adj
กลางคืน,nighttime,N
กลางเดือน,middle of the month,N
กลางวัน,daytime,N
กลางวัน,daytime,N
กล้าม,muscle,N
กลิ่น,smell,Adj
กลืน,swallow,V
กลุ้มใจ,dismal,Adj
ก๋วยเตี๋ยว,noodles,N
กว่า,than,Adj
กว้าง,wide,Adj
กวาด,sweep,V
ก๊อกน้ำ,tap,N
กอง,pile,Class
กอด,hug,V
ก่อน,before,Adv
ก้อน,lump,Class
ก่อนถึง  ,before reaching  ,Adv
ก่อนที่,before,Adv
ก่อนอาหาร,before a meal,Adv
ก๊อปปี้ - สำเนา,copy - copy,N
กอล์ฟ,golf,N
ก่อสร้าง,construct,V
กะ,Shift,V
กะทิ,coconut milk,N
กะเพรา,sweet basil,N
กะหล่ำดอก,Cauliflower,N
กะหล่ำปลี,cabbage,N
กังวล,worry,Adj
กัด,bite,V
กัน,together,Adv
กันยายน,September,N
กับ,with,"Prep, Conj"
กับแกล้ม,Snacks,N
กับข้าว,side dish,N
กับข้าว,side dish,N
กา,kettle,N
กางเกง,trousers,N
กางเกงขาสั้น,shorts,N
กางเกงใน,underwear,N
กาน้ำชา,teapot,N
กาแฟ,coffee,N
กาแฟเย็น,Iced coffee,N
กาแฟร้อน,hot coffee,N
การ,action,Prefic
การบ้าน,homework,N
การประชุม,meeting,N
การศึกษา,study,N
ก้าว,pace,V
ก้าวหน้า,progress,Adj
กำจัด,dispose,V
กำนัน,village headman,N
กำเนิด,birth,V
กำแพง,wall,N
กำไร,profit,N
กำลัง,energy,Adv
กำลังจะ,about to,Adv
กำลังพอดี,It's just right.,Adj
กำหนด,set,"V, N"
กิน,eat,V
กินข้าว,eat rice,V
กินยา,take medicine,V
กินเล่น,Eat and play,V
กินเลี้ยง ,feast ,V
กินเหล้า,drink alcohol,V
กิโล ,kilo ,N
กิโลกรัม,kg,N
กิโลเมตร,kilometer,N
กี่,how many,Adv
กี่ปี,How many years?,Adv
กี่โมง,What time?,Adv
กี่วัน,How many days?,Adv
กีฬา,sport,N
กุ้ง,shrimp,N
กุญแจ,key,N
กุมภาพันธ์,February,N
กุหลาบ,rose,N
เก๊,spurious,Adj
เก่ง,good,Adj
เก็บ,collect,V
เก็บเงิน,save money,V
เก็บโต๊ะ,Keep the table,V
เกรงใจ,considerate,Adj
เกลียด,hate,V
เกลือ,salt,N
เกษียณ,retire,V
เกา,scratch,V
เก่า,old,Adj
เก้า ๙,Nine 9,N
เก้าสิบ,ninety,N
เก้าสิบเอ็ด,Ninety-one,N
เกาหลี ,Korea ,N
เกาหลีใต้,South Korea,N
เก้าอี้,chair,N
เกาะ,island,N
เกิด,happen,V
เกิดขึ้น,occur,V
เกิน,over,Adj
เกินไป,too,Adj
เกี่ยวกับ,about,Prep
เกือบ,almost,Adv
แก,for,Pronoun
แก่,to,Adj
แก้,solve,V
แก้ไข,correct,V
แก้ไขเพิ่มเติม,Additional amendments,V
แกง,curry,N
แกงเขียวหวาน,green curry,N
แกงมัสมั่น,Massaman curry,N
แกงเหลือง,Yellow curry,N
แก้ตัว,excuse,V
แก้ม,cheek,N
แกล้ง,tease,V
แก้ว,glass,N
แก้วไวน์,wine glass,N
แกะ,sheep,N
แกะสลัก,carved,V
โกง,cheat,Adj
โกน,shave,V
โกนหนวด,Shave,V
โกรธ,angry,Adj
โกหก,lie,V
ใกล้,near,"Adj, Adv, Prep"
ใกล้ๆ,nearby,"Adj, Adv"
ใกล้ๆกัน,close together,Adv
ใกล้กัน ,close together ,Adv
ใกล้จะ,close to,Adv
ใกล้จะหมดอายุ,About to expire,Adv
ไก่,chicken,N
ไก่งวง,turkey,N
ไกล,far,Adj
ขณะที่,while,Adv
ขณะนี้,now,Adv
ขน,carry,N
ขนตา,eyelash,N
ขนม,candy,N
ขนมจีน,Khanom Jeen,N
ขนมปัง,bread,N
ขนส่ง,transport,V
ขนาด,size,N
ขนุน,jackfruit,N
ขม,sharp,Adj
ขมิ้น,turmeric,N
ขโมย,steal,V
ขยะ,garbage,N
ขยัน,hard-working,Adj
ขยาย,expand,V
ขวด,bottle,N
ข่วน,scratch,V
ขวบ,year,"N, Class"
ขวา,right,Adj
ขวาน,ax,N
ขอ,please,V
ข้อ,clause,N
ข้อความ,message,N
ของ,of,Adv
ของขวัญ,gift,N
ของเขา,his,Adj
ของคุณ,yours,Adj
ของใคร,Whose is it?,Adj
ของจริง,real,Adj
ของฉัน,my,Adj
ของใช้,Items,N
ของนอก,Foreign stuff,N
ของปลอม,fake,Adj
ของผม,mine,Adj
ของพวกเขา,their,Adj
ของหวาน,dessert,N
ขอเชิญ,Invite,V
ขอทาง,asking for directions,V
ข้อเท้า,Ankle,N
ขอโทษ,excuse me,Adv
ขอบ,edge,N
ขอบคุณ,thank you,Adv
ขอบใจ,thank,Adv
ขอม,Khmer,N
ข้อมือ,wrist,N
ข้อมูล,information,N
ขอยืม,borrow,V
ขอร้อง,ask,V
ข้อศอก,elbow,N
ขอให้,please,V
ขัด,scrub,V
ขัน,ridiculously,N
ขับ,drive,V
ขับรถ,drive a car,V
ขา,leg,N
ข่า,Galangal,N
ขากรรไกร,jaw,N
ข้างๆ,beside,Adv
ข้างขวา (มือ),right side (hand),Adv
ข้างนอก,outside,Adv
ข้างใน,inside,Adv
ข้างบน,upstairs,Adv
ข้างล่าง,below,Adv
ข้างหน้า,front,Adv
ข้างหลัง,behind,Adv
ขาด,broken,Adj
ข้าม,cross,V
ขาย,sell,V
ขายของ,sell products,V
ขายส่ง,wholesale,V
ข้าราชการ,government officer,N
ข่าว,news,N
ข้าว,rice,N
ข้าวขาว,white rice,N
ข้าวเช้า,Breakfast,N
ข้าวเที่ยง,Lunch,N
ข้าวผัด,fried rice,N
ข้าวโพด,sweetcorn,N
ข้าวสวย,cooked rice,N
ข้าวสาลี,wheat,N
ข้าวสุก,cooked rice,N
ข้าวหอมมะลิ,Jasmine rice,N
ข้าวเหนียว,sticky rice,N
ขำ,giggle,Adj
ขิง,ginger,N
ขี่,ride,V
ขี้,Shit,N
ขี้เกียจ,lazy,Adj
ขีด,dash,V
ขี้เมา,Drunkard,Adj
ขี้เหนียว,Stingy,Adj
ขี้อาย,Shy,Adj
ขึ้น,climb,V
ขึ้นอยู่,It depends.,V
ขื้นเงิน,Get money,V
ขุด,dig,V
ขูด,scrape,V
เขต,county,N
เข็ม,needle,N
เข็มกลัด,brooch,N
เข็มขัด,belt,N
เข้มแข็ง,strong,Adj
เข็มฉีดยา,syringe,N
เขมร ,Khmer ,N
เข่า,knee,N
เข้า,enter,V
"เขา, เค้า","he, he",Pronoun
เข้ากัน,compatible,Adj
เข้าใจ,understand,V
เข้าใจผิด,misunderstand,Adj
เข้าใจว่า,I understand that,V
เข้านอน,go to bed,V
เข้าไป,into,V
เข้ามา,come in,V
เขาเอง,Himself,Adj
เขิน,shy,Adj
เขี่ย,rake,V
เขียง,cutting board,N
เขียน,write,V
เขี้ยว,canine,N
แขก,guest,N
แข็ง,strong,Adj
แข่งขัน,compete,V
แข็งแรง,strong,Adj
แขน,arm,N
แขวน,hang,V
ไข,Wax,V
ไข่,egg,N
ไข้,fever,N
ไข่กวน,Scrambled eggs,N
ไข่เจียว,omelet,N
ไข่ดาว,fried egg,N
ไข่แดง,yolk,N
ไข่ต้ม,Boiled eggs,N
ไข่ตุ๋น,Poached eggs,N
ไข่ปิ้ง,Grilled eggs,N
ไข่ยัดไส้,Stuffed Eggs,N
ไข่ลวก,Hard-boiled eggs,N
ไข้เลือดออก,dengue fever,N
ไข้หวัด,flu,N
ไข้หวัดใหญ่,influenza,N
ฃอง,Jean,N
คง,probably,Adv
คงจะ,would,Adv
คณะ,group,N
คณะกรรมการ,board,N
คณิตศาสตร์,mathematics,N
คดี,case,N
คน,person,N
ค้น,search,V
คนขับรถ,Driver,N
คนขาย,seller,N
คนขายของ,seller,N
คนไข้,patient,N
คนงาน,worker,N
คนใช้,servant,N
คนเดียว,alone,Adv
คนโดยสาร,Passenger,N
คนต่างประเทศ,Foreign people,N
คนโต,The eldest,N
คนไทย,Thai person,N
คนนั้น,That person,Pronoun
คนนี้,This person,Pronoun
คนโน้น,That person,Pronoun
คนใน,insider in,N
คนพวกนี้,These people,Pronoun
คนยุโรป,European people,N
คนเล็ก,small person,N
คนสุดท้าย,the last person,N
คนโสด,Single people,N
คนหนึ่ง ,one person ,N
ค้นหา,search,V
คม,sharp,Adj
ครก,mortar,N
ครบ,fully,Adv
ครอบครัว,family,N
ครั้ง ,time ,Adv
ครั้งที่สอง,second time,Adv
ครั้งนี้,This time,Adv
ครั้งแรก,first time,Adv
ครับ,yes,Particle
ครัว,kitchen,N
คราว,time,Adv
คราวหน้า,Next time,Adv
ครีม,cream,N
ครึ่ง,half,Adj
ครึ่งหนึ่ง,half,Adj
ครู,teacher,N
ครู่,moment,Adv
ครูฝึก,Trainer,N
คลอง,canal,N
คลอดลูก,Giving birth,V
คล้ายกัน,similar,Adv
ควร,should,"V, Aux"
ควรจะ,should,"V, Aux"
ความ,sense,Prefix
ความคิด,idea,N
ความคิดเห็น,comment,N
ความจริง,truth,N
ความเชื่อ,belief,N
ความรัก,love,N
ความรู้,knowledge,N
ความรู้สึก,feeling,N
ความเร็ว,speed,N
ความสำคัญ,importance,N
ความสำเร็จ,success,N
ความสุข,happiness,N
ความสูง,height,N
ความหมาย,meaning,N
ความหลง,Infatuation,N
ความเห็น,opinion,N
ความอยาก - ตัณหา,Desire - lust,N
ควาย,buffalo,N
คอ,neck,N
ค้อน,hammer,N
ค่อนข้าง,quite,Adv
คอม,computer,N
คอมพิวเตอร์,computer,N
คอย,wait,V
ค่อย,gradually,Adv
คะ,yes,Particle
ค่ะ,yes,Particle
คะแนน,score,N
คัน,vehicle,Class
คั้น,crush,V
คับ,yes,Adj
ค่า,fee,N
ค้า,trade,V
ค้าขาย,trade,V
คาง,chin,N
ค้างคืน,overnight,V
ค่าจ้าง,Wages,N
ค่าเช่า,Rent,N
ค่าใช้จ่าย,expenses,N
คาด,expect,V
ค่าโดยสาร,fare,N
ค่าธรรมเนียม,fee,N
ค่าย,camp,N
ค่ารถ,Car fare,N
คำ,word,N
ค่ำ,Evening,Adj
คำตอบ,answer,N
คำถาม,question,N
คำนวณ,calculate,V
คำนึงถึง  - คำนึง,consider - consider,V
ค่ำวันอาทิตย์,Sunday evening,Adj
คำศัพท์,vocabulary,N
คิด,think,V
คิดดู,Think about it.,V
คิดถึง,miss,V
คิดถึงบ้าน,homesick,V
คิดว่า,think,V
คิ้ว,eyebrow,N
คิวรถ,car queue,N
คืน,night,V
คืนนี้,this evening,Adj
คือ,is,V
คุก,prison,N
คุณ,you,Pronoun
คุณพ่อคุณแม่,Parents,Pronoun
คุณภาพ,quality,N
คุณล่ะ,You?,Phrase
คุณสมบัติ,feature,N
คุณเอง,It's you.,Adv
คุ้ม,guard,V
คุย,talk,V
คุยกัน,Let's talk,V
คู่,pair,Adv
คูณ,multiply,V
คู่หมั้น,Fiancee,N
เค็ม,salty,Adj
เคย,ever,Adv
เคยชิน,wont,Adv
เครา,beard,N
เครือข่าย,network,N
เครื่อง,machine,N
เครื่องเงิน,silverware,N
เครื่องจักร,machinery,N
เครื่องซักผ้า,washing machine,N
เครื่องดื่ม,drink,N
เครื่องดูดฝุ่น,vacuum cleaner,N
เครื่องบิน,airplane,N
เครื่องพิมพ์ดีด,typewriter,N
เครื่องมือ,tool,N
เครื่องเรือน,furniture,N
เคลื่อน,move,V
เคารพ,respect,V
เคี้ยว,chew,V
แค่,just,Adv
แคนาดา,Canada,N
แคบ,narrow,Adj
แคร์,care,Adj
แครอท,carrot,N
โครง,frame,N
โครงการ,project,N
โครงสร้าง,structure,N
ใคร,who,Adv
ใคร่,desire,V
ใครก็ได้,Anyone can,Pronoun
ใครก็ตาม,Whoever,Pronoun
ใครคนหนึ่ง,someone,Pronoun
ฆ่า,kill,V
โฆษณา,advert,V
งบประมาณ,Budget,N
ง่วง,sleepy,Adj
ง่วงนอน,sleepy,Adj
งอก,germinate,V
งั้น,otherwise,Conj
งา,sesame,N
งาน,work,N
งานแต่งงาน,wedding,N
งานเลี้ยง,party,N
งาม,beautiful,Adj
ง่าย,easy,Adj
งู,snake,N
งูเขียว,green snake,N
งูเห่า,cobra,N
เงาะ,rambutan,N
เงิน,money,N
เงินกินเปล่า,Free money to eat,N
เงินเดือน,salary,N
เงินทอน,change,N
เงินสด,cash,N
เงียบ,quiet,Adj
โง่,stupid,Adj
ไง,how,Adv
จด,write,V
จดทะเบียน,registered,V
จดหมาย,note,N
จน,until,Adj
จนกระทั่ง,until,Conj
จนกว่า,unless,Conj
จนถึง,until,Conj
จมน้ำ,drowning,V
น้ำท่วม,flood,N
จมูก,nose,N
จระเข้,crocodile,N
จริง,TRUE,Adj
จริงๆ,really,Adj
จริงใจ,sincere,Adj
จอง,reserve,V
จอด,park,V
จะ,will,"V, Aux"
จ้ะ,yes,Particle
จั็กจี้,ticklish,Adj
จักร,Chakra,N
จักรยาน,bicycle,N
จังหวัด,province,N
จัด,Arrange,V
จัดการ,manage,V
จัดหา,supply,V
จันทร์,Monday,N
จับ,hold,V
จาก,from,Adv
จ้าง,hire,V
จาน,plate,N
จานข้าว,rice plate,N
จานรองถ้วย,cup saucer,N
จ่าย,pay,V
จ่ายเงิน,pay,V
จำ,remember,V
จำ ….ได้,can remember,V
จำกัด,Ltd.,V
จำได้,can remember,V
จำนวน,quantity,N
จำเป็น,necessary,Adj
จิ้งจก,lizard,N
จิ้งหรีด,cricket,N
จี้,pendant,V
จีน ,China ,N
จีบ,court,V
จึง,therefore,Conj
จืด,fresh,Adj
จุด,point,V
จูบ,kiss,V
จูบปาก,kiss mouth,V
เจ็ด,seven,N
เจ็ดสิบ,Seventy,N
เจ็บ,hurt,Adj
เจ็บคอ,sore throat,Adj
เจรจา,Negotiate,V
เจริญ,grow,V
เจอ,meet,V
เจอกัน,meet,V
เจ้าของ,owner,Pronoun
เจ้าของบ้าน,home owner,Pronoun
เจ้าของร้าน,shop owner,Pronoun
เจ้าบ่าว,groom,Pronoun
เจ้าสาว,bride,Pronoun
เจ้าหน้าที่,officer,Pronoun
เจ้าหนี้,creditor,Pronoun
แจก - จำหน่าย,Give - sell,V
แจ้ง,inform,V
โจ๊ก,rice porridge,N
โจร,bandit,N
ใจ,heart,N
ใจกว้าง,tolerant,Adj
ใจดำ,callous,Adj
ใจดี,kind,Adj
ใจเย็น,calm,Adj
ใจเย็นเย็น,cool cool,Adj
ใจร้อน,impatient,Adj
ฉบับ,issue,"Adv, Class"
ฉลาด,clever,Adj
ฉัน,I,Pronoun
ฉันเอง,myself,Pronoun
ฉาย,project,V
ฉิ่ง,cymbal,N
ฉีด,spray,V
ฉีดยา,inject a drug,V
เฉพาะ,specifically,Adv
เฉย,Indifferent,Adj
เฉยๆ,indifferent,Adj
เฉลี่ย,average,V
ชกมวย,punch,V
ชน,crash,V
ชนบท,countryside,N
ชนะ,win,Adj
ชนิด,type,Adv
ชม,watch,V
ชมพู่,rose apple,N
ช่วง,range,Adv
ช่วงนี้,this period,Adv
ชวน,invite,V
ช่วย,help,V
ช่วยด้วย,help,V
ช็อกโกแลต,chocolate,N
ช่อง,channel,N
ช้อน,spoon,N
ช้อนกลาง,Medium spoon,N
ช้อนชา,teaspoon,N
ช้อนส้อม,cutlery,N
ชอบ,like,V
ชั่ง,scale,V
ชั่งน้ำหนัก,weigh,V
ชัด,Clearly,Adj
ชั้น,floor,N
ชั้นบน,Upstairs,"Adj, Adv"
ชั้นล่าง,ground floor,"Adj, Adv"
ชั้นสอง,Second floor,"Adj, Adv"
ชั้นหนึ่ง,First class,"Adj, Adv"
ชั่วคราว,temporary,Adv
ชั่วโมง,hour,Adv
ชา,tea,N
"ช้า, ช้าๆ","slow, slowly",Adv
ช่าง,tradesman,Pronoun
ช้าง,elephant,N
ช่างตัดผม,hairdresser,N
ช่างตัดเสื้อ,tailor,N
ช่างไฟฟ้า,electrician,N
ช่างภาพ,photographer,N
ช่างยนต์,Auto mechanic,N
ชาติ,nation,N
ชานชาลา,platform,N
ช้าไป,Too late,Adv
ชาม,bowl,N
ชาย,man,Pronoun
ชายแก่,old man,Pronoun
ชายทะเล,seaside,N
ชายโสด,single man,Pronoun
ชายหญิง,Male and female,N
ชายหาด,beach,N
ชาว,people,N
ชาวนา,farmer,N
ชาวนา,farmer,N
ชาวประมง,fisherman,N
ชาวเอเชีย,Asian people,N
ชำระ,pay,V
ชิด,close,V
ชิน,accustomed,Adj
ชิ้น,item,"Adv, Class"
ชิม,taste,V
ชี้แจง,explain,V
ชีวิต,life,N
ชื่นใจ,Delighted,Adj
ชื่อ,name,N
ชื่อเล่น,nickname,N
ชุด,set,N
ชุดชั้นใน,underwear,N
ชุดนอน,pajamas,N
เช็ค,check,N
เช็ด,wipe,V
เช่น,such as,Conj
เช่นกัน,too,Adv
เช่นเคย,As always,Adv
เช่นเดียวกับ,as well as,Adv
เช่นนี้,like this,Adv
เช่า,hire,V
เช้า,morning,Adj
เช้าตรู่,morning,Adj
เช้านี้,This morning,Adj
เช้ามืด,dawn,Adj
เช้าวันอาทิตย์,Sunday morning,Adj
เชิญ,invite,V
เชื่อ,believe,V
เชื้อ,germs,N
เชือก,rope,N
เชื่อฟัง,obey,V
เชื้อโรค,disease,N
แช่,soak,V
โชคดี,good luck,Adj
โชคดีนะ,Good luck.,Adj
โชคร้าย,bad luck,Adj
ใช่,yes,Adj
ใช้,use,Adv
ใช้เงิน,Spend money,V
ใช้หมด,used up,V
ใช่ไหม,Right?,POS
ไชโย,Bravo!,POS
ซวย,hapless,Adj
ซอง,envelope,Class
ซองจดหมาย,Envelope,N
ซ่อน,hide,V
ซอฟต์แวร์,software,N
ซ่อม,repair,V
ซอย,alley,N 
ซัก,wash,V
ซักที,Just once,Adv
ซักน้ำ,Wash with water,Adj
ซักผ้า,wash clothes,V
ซักแห้ง,dry cleaning,Adj
ซ้าย,left,Adj
ซาอุดีอาระเบีย,Saudi Arabia,N
ซิ,Si,Particle
ซิ่,Si,Particle
ซิ่ง,Racing,Adj
ซิป,zipper,N
ซีดี,CD,N
ซีอิ๊ว,soy sauce,N
ซึ่ง,which,Relative Pronoun
ซื่อ,faithfully,Adj
ซื้อ,buy,V
ซื้อของ,Buy things,V
ซื่อตรง,upright,Adj
ซุกซน,misbehave,Adj
ซุป,soup,N
ซุปเปอร์มาร์เก็ต,supermarket,N
เซ็ง,Bored,Adj
เซ็น,sign,V
เซ็นชื่อ,Sign,V
เซลเซียส,Celsius,N
โซ่,chain,N
โซดา,soda,N 
ญวน ,Vietnamese ,N
ญาติ,relative,Pronoun
ญี่ปุ่น ,Japan ,N
ฐานะ,position,N
เณร,neophyte,N
ดนตรี,music,N
ดม,smell,V
ดวง,Horoscope,Adv
ดวงจันทร์,moon,N
ดวงอาทิตย์,sun,N
ด่วน,urgent,Adv
ด้วย,too,Adv
ด้วยกัน,together,Adv
ด้วยตัวเอง,by yourself,Adv
ดอก,flower,N
ดอกบัว,lotus,N
ดอกเบี้ย,interest,N
ดอกไม้,flower,N
ดอง,preserved,Adj
ดอลลาร์,dollar,N
ดัง,as,ADJ
ดังนั้น - เพราะฉะนั้น,therefore - therefore,Conj
ดัน,push,V
ดับ,extinguish,V
ด่า,tell off,V
ด้าน,side,N
ด้าม,handle,Adv
ด้าย,thread,N
ดาว,star,N
ดำเนิน,conduct,V
ดิก,Dick,N
"ดิฉัน, ฉัน","me, me",Pronoun
ดิน,earth,N
ดินสอ,pencil,N
ดิบ,raw,Adj
ดี,good,Adj
ดีกว่า,better,Adj
ดีขึ้น,better,Adj
ดีใจ,happy,Adj
ดีที่สุด,the best,Adj
ดีเยี่ยม - วิเศษ - เด็ด,Excellent - wonderful - awesome,V
ดึก,late,Adj
ดึง,pull,V
